LGAID,LGAName,Countofdwellings,LGACode,Population
LGAID371,Boddington,839,50630,1786.0
LGAID372,Boyup Brook,927,50770,1948.0
LGAID373,Bridgetown-Greenbushes,2688,50840,5669.0
LGAID374,Brookton,482,50910,955.0
LGAID375,Broome,9419,50980,18611.0
LGAID376,Broomehill-Tambellup,577,51080,1095.0
LGAID377,Bruce Rock,425,51120,1043.0
LGAID378,Bunbury,15960,51190,34768.0
LGAID379,Busselton,21315,51260,43969.0
LGAID380,Cambridge,11522,51310,31133.0
LGAID381,Canning,37259,51330,103691.0
LGAID382,Capel,7110,51400,19335.0
LGAID383,Carnamah,371,51470,579.0
LGAID384,Carnarvon,3763,51540,5528.0
LGAID385,Chapman Valley,694,51610,1663.0
LGAID386,Chittering,2410,51680,6516.0
LGAID387,Christmas Island,623,51710,1823.0
LGAID388,Claremont,5251,51750,12178.0
LGAID389,Cockburn,48428,51820,130282.0
LGAID390,Cocos Islands,204,51860,631.0
LGAID391,Collie,4121,51890,9295.0
LGAID392,Coolgardie,1798,51960,3686.0
LGAID393,Coorow,947,52030,1107.0
LGAID394,Corrigin,508,52100,1029.0
LGAID395,Cottesloe,3612,52170,8695.0
LGAID396,Cranbrook,612,52240,1149.0
LGAID397,Cuballing,488,52310,951.0
LGAID398,Cue,204,52380,231.0
LGAID399,Cunderdin,659,52450,1322.0
LGAID400,Dalwallinu,611,52520,1446.0
LGAID401,Dandaragan,2805,52590,3748.0
LGAID402,Dardanup,6053,52660,15685.0
LGAID403,Denmark,3670,52730,6618.0
LGAID404,Derby-West Kimberley,3604,52800,8433.0
LGAID405,Donnybrook-Balingup,2821,52870,6438.0
LGAID406,Dowerin,422,52940,738.0
LGAID407,Dumbleyung,335,53010,701.0
LGAID408,Dundas,632,53080,701.0
LGAID409,East Fremantle,3327,53150,8222.0
LGAID410,East Pilbara,3625,53220,10401.0
LGAID411,Esperance,6844,53290,14547.0
LGAID412,Exmouth,2662,53360,3466.0
LGAID413,Fremantle,15751,53430,35157.0
LGAID414,Gingin,4107,53570,6064.0
LGAID415,Gnowangerup,671,53640,1269.0
LGAID416,Goomalling,527,53710,987.0
LGAID417,Gosnells,47117,53780,137355.0
LGAID418,Greater Geraldton,18018,53800,41914.0
LGAID419,Halls Creek,1674,53920,4136.0
LGAID420,Harvey,11874,53990,30790.0
LGAID421,Irwin,2163,54060,3842.0
LGAID422,Jerramungup,913,54130,1213.0
LGAID423,Joondalup,62177,54170,169657.0
LGAID424,Kalamunda,23347,54200,62670.0
LGAID425,Kalgoorlie-Boulder,13248,54280,30775.0
LGAID426,Karratha,10056,54310,24237.0
LGAID427,Katanning,1843,54340,4290.0
LGAID428,Kellerberrin,621,54410,1166.0
LGAID429,Kent,266,54480,524.0
LGAID430,Kojonup,1037,54550,1967.0
LGAID431,Kondinin,471,54620,858.0
LGAID432,Koorda,246,54690,371.0
LGAID433,Kulin,396,54760,794.0
LGAID434,Kwinana,17628,54830,52103.0
LGAID435,Lake Grace,751,54900,1301.0
LGAID436,Laverton,396,54970,1439.0
LGAID437,Leonora,839,55040,1732.0
LGAID438,Mandurah,44140,55110,99272.0
LGAID439,Manjimup,5035,55180,9438.0
LGAID440,Meekatharra,608,55250,1294.0
LGAID441,Melville,42920,55320,110426.0
LGAID442,Menzies,237,55390,575.0
LGAID443,Merredin,1636,55460,3268.0
LGAID444,Mingenew,274,55530,417.0
LGAID445,Moora,1156,55600,2392.0
LGAID446,Morawa,320,55670,679.0
LGAID447,Mosman Park,4122,55740,10032.0
LGAID448,Mount Magnet,410,55810,701.0
LGAID449,Mount Marshall,315,55880,461.0
LGAID450,Mukinbudin,328,55950,600.0
LGAID451,Mundaring,14962,56090,41421.0
LGAID452,Murchison,81,56160,106.0
LGAID453,Murray,8192,56230,19823.0
LGAID454,Nannup,1014,56300,1632.0
LGAID455,Narembeen,402,56370,833.0
LGAID456,Narrogin,2409,56460,4983.0
LGAID457,Nedlands,8407,56580,24127.0
LGAID458,Ngaanyatjarraku,607,56620,1479.0
LGAID459,Northam,5237,56730,12193.0
LGAID460,Northampton,2382,56790,3369.0
LGAID461,Nungarin,135,56860,256.0
LGAID462,Peppermint Grove,615,56930,1736.0
LGAID463,Perenjori,254,57000,649.0
LGAID464,Perth,17636,57080,32856.0
LGAID465,Pingelly,553,57140,1084.0
LGAID466,Plantagenet,2676,57210,5669.0
LGAID467,Port Hedland,7942,57280,17247.0
LGAID468,Quairading,499,57350,973.0
LGAID469,Ravensthorpe,1405,57420,2277.0
LGAID470,Rockingham,54910,57490,148822.0
LGAID471,Sandstone,94,57630,116.0
LGAID472,Serpentine-Jarrahdale,11234,57700,36739.0
LGAID473,Shark Bay,1295,57770,1129.0
LGAID474,South Perth,20882,57840,46701.0
LGAID475,Stirling,102177,57910,243871.0
LGAID476,Subiaco,8829,57980,18870.0
LGAID477,Swan,58928,58050,171588.0
LGAID478,Tammin,238,58190,404.0
LGAID479,Three Springs,319,58260,593.0
LGAID480,Toodyay,2382,58330,4954.0
LGAID481,Trayning,253,58400,303.0
LGAID482,Upper Gascoyne,159,58470,201.0
LGAID483,Victoria Park,18019,58510,40782.0
LGAID484,Victoria Plains,411,58540,824.0
LGAID485,Vincent,18208,58570,40125.0
LGAID486,Wagin,888,58610,1816.0
LGAID487,Wandering,260,58680,545.0
LGAID488,Wanneroo,78061,58760,229438.0
LGAID489,Waroona,2224,58820,4457.0
LGAID490,West Arthur,376,58890,787.0
LGAID491,Westonia,147,59030,244.0
LGAID492,Wickepin,335,59100,701.0
LGAID493,Williams,507,59170,1060.0
LGAID494,Wiluna,273,59250,568.0
LGAID495,Wongan-Ballidu,685,59310,1336.0
LGAID496,Woodanilling,221,59320,479.0
LGAID497,Wyalkatchem,358,59330,491.0
LGAID498,Wyndham-East Kimberley,4366,59340,8209.0
LGAID499,Yalgoo,139,59350,357.0
LGAID500,Yilgarn,715,59360,1198.0
LGAID501,York,1883,59370,3602.0
LGAID502,Migratory - Offshore - Shipping (WA),170,,
LGAID503,Break O'Day,4850,,
LGAID504,Brighton,7530,60410,19998.0
LGAID505,Burnie,9274,60610,20463.0
LGAID506,Central Coast (Tas.),10434,60810,23331.0
LGAID507,Central Highlands (Tas.),2752,61010,2595.0
LGAID508,Circular Head,4064,61210,8352.0
LGAID509,Clarence,25894,61410,63663.0
LGAID510,Derwent Valley,4749,61510,11341.0
LGAID511,Devonport,12071,61610,26977.0
LGAID512,Dorset,3948,61810,7001.0
LGAID513,Flinders (Tas.),689,62010,933.0
LGAID514,George Town,3685,62210,7330.0
LGAID515,Glamorgan-Spring Bay,4752,62410,5237.0
LGAID516,Glenorchy,21879,62610,50808.0
LGAID517,Hobart,24864,62810,55964.0
LGAID518,Huon Valley,8767,63010,19454.0
LGAID519,Kentish,2915,63210,6831.0
LGAID520,King Island,897,63410,1648.0
LGAID521,Kingborough,17301,63610,41179.0
LGAID522,Latrobe (Tas.),5816,63810,13062.0
LGAID523,Launceston,31369,64010,71788.0
LGAID524,Meander Valley,9276,64210,21449.0
LGAID525,Northern Midlands,6444,64610,14279.0
LGAID526,Sorell,8134,64810,17635.0
LGAID527,Southern Midlands,2978,65010,6912.0
LGAID528,Tasman,2644,65210,2686.0
LGAID529,Waratah-Wynyard,6909,65410,14767.0
LGAID530,West Coast,3123,65610,4359.0
LGAID531,West Tamar,11308,65810,26039.0
LGAID532,Migratory - Offshore - Shipping (Tas.),16,,
LGAID533,Alice Springs,11681,70200,29213.0
LGAID534,Barkly,2932,70420,7239.0
LGAID535,Belyuen,42,70540,166.0
LGAID536,Central Desert,1272,70620,4126.0
LGAID537,Coomalie,1065,70700,1421.0
LGAID538,Darwin,34806,71000,85465.0
LGAID539,Darwin Waterfront Precinct,258,71150,282.0
LGAID540,East Arnhem,1968,71300,10011.0
LGAID541,Katherine,4436,72200,10829.0
LGAID542,Litchfield,8883,72300,23415.0
LGAID543,MacDonnell,2243,72330,6706.0
LGAID544,Palmerston,14542,72800,41113.0
LGAID545,Roper Gulf,2923,73600,7491.0
LGAID546,Tiwi Islands,798,74050,2747.0
LGAID547,Victoria Daly,1232,74550,3295.0
LGAID548,Wagait,293,74560,464.0
LGAID549,West Arnhem,2225,74660,7407.0
LGAID550,West Daly,709,74680,3426.0
LGAID551,Unincorporated NT,4175,79399,7713.0
LGAID552,Migratory - Offshore - Shipping (NT),74,,
