Date,Number of fatal crashes,Number Fatalities,DateID
1990-04-27,3,3,Date1990045
1990-04-27,3,3,Date1990045
1990-04-28,7,8,Date1990046
1990-04-29,7,7,Date1990047
1990-04-30,4,4,Date1990041
1990-04-30,4,4,Date1990041
1990-05-01,3,3,Date1990052
1990-05-02,8,9,Date1990053
1990-05-03,4,4,Date1990054
1990-05-04,5,6,Date1990055
1990-05-04,5,6,Date1990055
1990-05-05,8,8,Date1990056
1990-05-06,7,7,Date1990057
1990-05-07,2,2,Date1990051
1990-05-07,2,2,Date1990051
1990-05-08,8,10,Date1990052
1990-05-09,3,3,Date1990053
1990-05-10,4,4,Date1990054
1990-05-11,4,5,Date1990055
1990-05-11,4,5,Date1990055
1990-05-12,10,11,Date1990056
1990-05-13,4,5,Date1990057
1990-05-14,3,4,Date1990051
1990-05-14,3,4,Date1990051
1990-05-15,3,3,Date1990052
1990-05-16,3,4,Date1990053
1990-05-17,10,10,Date1990054
1990-05-18,5,6,Date1990055
1990-05-18,5,6,Date1990055
1990-05-19,8,9,Date1990056
1990-05-20,5,5,Date1990057
1990-05-21,7,7,Date1990051
1990-05-21,7,7,Date1990051
1990-05-22,4,4,Date1990052
1990-05-23,5,7,Date1990053
1990-05-24,4,5,Date1990054
1990-05-25,6,6,Date1990055
1990-05-25,6,6,Date1990055
1990-05-26,8,10,Date1990056
1990-05-27,3,4,Date1990057
1990-05-28,5,7,Date1990051
1990-05-28,5,7,Date1990051
1990-05-29,5,5,Date1990052
1990-05-30,1,1,Date1990053
1990-05-31,9,12,Date1990054
1990-06-01,7,8,Date1990065
1990-06-01,7,8,Date1990065
1990-06-02,10,14,Date1990066
1990-06-03,4,5,Date1990067
1990-06-04,1,1,Date1990061
1990-06-04,1,1,Date1990061
1990-06-05,4,5,Date1990062
1990-06-06,6,7,Date1990063
1990-06-07,6,6,Date1990064
1990-06-08,7,7,Date1990065
1990-06-08,7,7,Date1990065
1990-06-09,11,14,Date1990066
1990-06-10,9,10,Date1990067
1990-06-11,2,2,Date1990061
1990-06-11,2,2,Date1990061
1990-06-12,6,7,Date1990062
1990-06-13,6,6,Date1990063
1990-06-14,5,5,Date1990064
1990-06-15,4,4,Date1990065
1990-06-15,4,4,Date1990065
1990-06-16,8,9,Date1990066
1990-06-17,6,8,Date1990067
1990-06-18,9,13,Date1990061
1990-06-18,9,13,Date1990061
1990-06-19,7,7,Date1990062
1990-06-20,3,3,Date1990063
1990-06-21,8,9,Date1990064
1990-06-22,6,6,Date1990065
1990-06-22,6,6,Date1990065
1990-06-23,6,7,Date1990066
1990-06-24,6,7,Date1990067
1990-06-25,12,12,Date1990061
1990-06-25,12,12,Date1990061
1990-06-26,3,3,Date1990062
1990-06-27,6,7,Date1990063
1990-06-28,9,14,Date1990064
1990-06-29,3,3,Date1990065
1990-06-29,3,3,Date1990065
1990-06-30,9,12,Date1990066
1990-07-01,6,6,Date1990077
1990-07-02,10,12,Date1990071
1990-07-02,10,12,Date1990071
1990-07-03,7,8,Date1990072
1990-07-04,5,5,Date1990073
1990-07-05,5,5,Date1990074
1990-07-06,3,3,Date1990075
1990-07-06,3,3,Date1990075
1990-07-06,3,3,Date1990075
1990-07-07,3,3,Date1990076
1990-07-08,6,8,Date1990077
1990-07-09,6,6,Date1990071
1990-07-09,6,6,Date1990071
1990-07-10,6,6,Date1990072
1990-07-11,6,8,Date1990073
1990-07-12,9,11,Date1990074
1990-07-13,8,8,Date1990075
1990-07-13,8,8,Date1990075
1990-07-13,8,8,Date1990075
1990-07-14,5,7,Date1990076
1990-07-15,3,3,Date1990077
1990-07-16,7,9,Date1990071
1990-07-16,7,9,Date1990071
1990-07-17,5,6,Date1990072
1990-07-18,7,8,Date1990073
1990-07-19,7,7,Date1990074
1990-07-20,3,4,Date1990075
1990-07-20,3,4,Date1990075
1990-07-20,3,4,Date1990075
1990-07-21,10,12,Date1990076
1990-07-22,9,9,Date1990077
1990-07-23,3,3,Date1990071
1990-07-23,3,3,Date1990071
1990-07-24,6,6,Date1990072
1990-07-25,1,1,Date1990073
1990-07-26,4,4,Date1990074
1990-07-27,11,11,Date1990075
1990-07-27,11,11,Date1990075
1990-07-27,11,11,Date1990075
1990-07-28,10,12,Date1990076
1990-07-29,8,8,Date1990077
1990-07-30,4,4,Date1990071
1990-07-30,4,4,Date1990071
1990-07-31,2,2,Date1990072
1990-08-01,5,6,Date1990083
1990-08-02,9,9,Date1990084
1990-08-03,9,11,Date1990085
1990-08-03,9,11,Date1990085
1990-08-04,5,5,Date1990086
1990-08-05,5,6,Date1990087
1990-08-06,1,1,Date1990081
1990-08-06,1,1,Date1990081
1990-08-07,3,3,Date1990082
1990-08-08,5,5,Date1990083
1990-08-09,6,7,Date1990084
1990-08-10,4,4,Date1990085
1990-08-10,4,4,Date1990085
1990-08-11,4,4,Date1990086
1990-08-12,6,7,Date1990087
1990-08-13,3,3,Date1990081
1990-08-13,3,3,Date1990081
