Crash ID,DateID,LocationID,Crash Type,Number Fatalities,Speed Limit,National LGA Name 2021,TimeID,VehicleID,EventID,PeopleID
20045054,,,Single,1,Fast,,Time737,Veh1,Event2,Peop27041
20045147,,,Multiple,1,Fast,,Time79,Veh1,Event2,Peop27042
20043230,,,Multiple,1,Medium,,Time23,Veh1,Event2,Peop27043
20043157,,,Multiple,1,Medium,,Time26,Veh5,Event2,Peop27044
20043216,,,Multiple,1,Medium,,Time26,Veh1,Event2,Peop27045
20041393,,,Multiple,1,Medium,,Time76,Veh1,Event2,Peop27046
20042051,,,Single,1,Fast,,Time309,Veh1,Event2,Peop27047
20042108,,,Single,1,Fast,,Time226,Veh1,Event2,Peop27048
20041072,,,Multiple,1,Medium,,Time459,Veh1,Event2,Peop27049
20042055,,,Single,1,Fast,,Time311,Veh1,Event2,Peop27050
20043280,Date2004052,,Single,1,Medium,,Time88,Veh1,Event2,Peop27051
20047004,,,Single,1,Medium,,Time1495,Veh1,Event2,Peop27052
20045013,,,Multiple,1,Fast,,Time180,Veh1,Event2,Peop27053
20043223,,,Single,1,Medium,,Time80,Veh5,Event2,Peop27054
20042186,,,Multiple,1,Fast,,Time123,Veh1,Event2,Peop27055
20042114,,,Single,1,Medium,,Time5,Veh8,Event2,Peop27056
20041211,,,Single,1,Medium,,Time89,Veh1,Event2,Peop27057
20046010,,,Multiple,1,Fast,,Time6,Veh1,Event2,Peop27058
20042110,,,Single,1,Fast,,Time160,Veh5,Event2,Peop27059
20042029,,,Multiple,1,Fast,,Time64,Veh5,Event2,Peop27060
20041048,,,Multiple,1,Medium,,Time1027,Veh1,Event2,Peop27061
20044121,,,Single,1,Medium,,Time949,Veh1,Event2,Peop27062
20043019,,,Single,1,Medium,,Time101,Veh1,Event2,Peop27063
20042198,,,Single,1,Medium,,Time150,Veh1,Event2,Peop27064
20044020,,,Multiple,2,Fast,,Time759,Veh3,Event2,"Peop27065, Peop27066"
20043225,,,Single,1,Medium,,Time102,Veh1,Event2,Peop27067
20041435,,,Single,1,Medium,,Time764,Veh1,Event2,Peop27068
20041373,,,Single,2,Low,,Time77,Veh1,Event2,"Peop27069, Peop27070"
20045091,Date2004053,,Single,1,Medium,,Time756,Veh1,Event2,Peop27071
20042258,,,Multiple,1,Medium,,Time844,Veh3,Event2,Peop27072
20042310,,,Single,1,Medium,,Time822,Veh1,Event2,Peop27073
20041305,,,Single,1,Medium,,Time614,Veh1,Event2,Peop27074
20042255,,,Single,1,Medium,,Time106,Veh1,Event2,Peop27075
20042238,,,Single,1,Medium,,Time72,Veh1,Event2,Peop27076
20042177,,,Single,1,Medium,,Time969,Veh1,Event2,Peop27077
20042080,,,Multiple,1,Fast,,Time6,Veh3,Event2,Peop27078
20046049,,,Single,1,Fast,,Time61,Veh1,Event2,Peop27079
20045157,,,Multiple,1,Medium,,Time331,Veh1,Event2,Peop27080
20045128,,,Single,1,Fast,,Time185,Veh1,Event2,Peop27081
20043089,,,Single,1,Medium,,Time101,Veh1,Event2,Peop27082
20041268,,,Multiple,3,Fast,,Time101,Veh1,Event2,"Peop27083, Peop27084, Peop27085"
20042096,,,Single,1,Medium,,Time176,Veh1,Event2,Peop27086
