TimeID,Hour,TimeGroup
720,8.0,Morning
721,12.0,Afternoon
722,12.0,Afternoon
723,13.0,Afternoon
724,16.0,Afternoon
725,22.0,Night
726,2.0,Early Morning
727,19.0,Evening
728,14.0,Afternoon
729,16.0,Afternoon
730,20.0,Evening
731,4.0,Early Morning
732,17.0,Afternoon
733,18.0,Evening
734,18.0,Evening
735,7.0,Morning
736,7.0,Morning
737,10.0,Morning
738,16.0,Afternoon
739,18.0,Evening
740,9.0,Morning
741,13.0,Afternoon
742,15.0,Afternoon
743,0.0,Early Morning
744,6.0,Morning
745,11.0,Morning
746,16.0,Afternoon
747,20.0,Evening
748,6.0,Morning
749,13.0,Afternoon
750,14.0,Afternoon
751,15.0,Afternoon
752,16.0,Afternoon
753,20.0,Evening
754,23.0,Night
755,1.0,Early Morning
756,10.0,Morning
757,17.0,Afternoon
758,19.0,Evening
759,21.0,Night
760,19.0,Evening
761,4.0,Early Morning
762,15.0,Afternoon
763,21.0,Night
764,16.0,Afternoon
765,18.0,Evening
766,16.0,Afternoon
767,18.0,Evening
768,19.0,Evening
769,22.0,Night
770,23.0,Night
771,11.0,Morning
772,16.0,Afternoon
773,10.0,Morning
774,12.0,Afternoon
775,20.0,Evening
776,1.0,Early Morning
777,13.0,Afternoon
778,21.0,Night
779,12.0,Afternoon
780,0.0,Early Morning
781,14.0,Afternoon
782,19.0,Evening
783,23.0,Night
784,9.0,Morning
785,16.0,Afternoon
786,22.0,Night
787,8.0,Morning
788,10.0,Morning
789,12.0,Afternoon
790,20.0,Evening
791,13.0,Afternoon
792,14.0,Afternoon
793,21.0,Night
794,21.0,Night
795,21.0,Night
796,0.0,Early Morning
797,19.0,Evening
798,5.0,Early Morning
799,16.0,Afternoon
800,20.0,Evening
801,19.0,Evening
802,2.0,Early Morning
803,17.0,Afternoon
804,4.0,Early Morning
805,9.0,Morning
806,18.0,Evening
807,19.0,Evening
808,20.0,Evening
809,10.0,Morning
810,23.0,Night
811,22.0,Night
812,8.0,Morning
813,16.0,Afternoon
814,21.0,Night
815,2.0,Early Morning
816,13.0,Afternoon
817,2.0,Early Morning
818,6.0,Morning
819,18.0,Evening
820,19.0,Evening
821,3.0,Early Morning
822,7.0,Morning
823,8.0,Morning
824,8.0,Morning
825,13.0,Afternoon
826,3.0,Early Morning
827,22.0,Night
828,23.0,Night
829,20.0,Evening
830,3.0,Early Morning
831,17.0,Afternoon
832,2.0,Early Morning
833,6.0,Morning
834,17.0,Afternoon
835,20.0,Evening
836,2.0,Early Morning
837,6.0,Morning
838,23.0,Night
839,1.0,Early Morning
840,18.0,Evening
841,18.0,Evening
842,1.0,Early Morning
843,16.0,Afternoon
844,0.0,Early Morning
845,7.0,Morning
846,15.0,Afternoon
847,19.0,Evening
848,23.0,Night
849,7.0,Morning
850,11.0,Morning
851,19.0,Evening
852,8.0,Morning
853,8.0,Morning
854,16.0,Afternoon
855,18.0,Evening
